17227,16684,543
16847,16844,3
19288,19283,5
18174,18172,2
21283,21282,1
21504,21502,2
23457,23457,0
19287,19284,3
23519,23512,7
16369,16369,0
15896,15884,12
16875,16866,9
22083,22083,0
25112,24560,552
27583,27583,0
26569,26560,9
22878,22874,4
29643,29621,22
49577,49553,24
65364,65364,0
60684,60665,19
60862,52584,8278
62103,0,62103
62230,6,62224
66729,4,66725
62182,9,62173
67087,24,67063
64242,9,64233
47869,0,47869
64228,19,64209
60387,1,60386
55925,14,55911
58027,0,58027
61145,1540,59605
51183,7,51176
65886,65886,0
66195,11,66184
46964,25,46939
49866,5,49861
35385,49,35336
14190,478,13712
13990,15,13975
46148,451,45697
43104,91,43013
45248,2,45246
34746,8,34738
26685,4,26681
26843,7,26836
17082,16,17066
29799,35,29764
44466,368,44098
25869,103,25766
36534,7,36527
15916,46,15870
30416,30416,0
33320,33232,88
46121,46121,0
56630,56606,24
56659,56659,0
52778,52778,0
50314,50223,91
18514,18514,0
46226,46210,16
42782,42676,106
72402,72327,75
83108,83108,0
89371,65752,23619
83508,470,83038
71321,0,71321
58096,1,58095
76418,41,76377
70290,484,69806
60719,6,60713
87517,87517,0
87814,87619,195
91649,91649,0
89753,89643,110
83939,81792,2147
84898,84737,161
87492,87492,0
85838,85834,4
89532,89532,0
76846,76769,77
63407,63392,15
51678,51678,0
86589,85478,1111
77631,77631,0
74621,74581,40
68668,66528,2140
80359,5,80354
84264,84264,0
84643,84643,0
81198,81149,49
88617,88585,32
76746,76746,0
86434,86159,275
81946,81936,10
81944,81944,0
82807,82750,57
82749,82323,426
